id,name
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan
5pUo3fmmHT8bhCyHE52hA6,Liam Payne
4AK6F7OLvEQ5QYCBNiQWHq,One Direction
57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson
6T5tfhQCknKG4UnH90qGnz,DNCE
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
6bh228LGC3eAzbplPWV02r,Declan J Donovan
25tMQOrIU4LlUo6Sv8v5SE,Gavin James
2nJYGgfTf2846LtVB3AES8,Plested
6TdfKQvrdHZdr4DIzjuWOr,Canyon City
2wY79sveU1sp5g7SokKOiI,Sam Smith
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas
5CCwRZC6euC8Odo6y9X8jr,Rita Ora
2gsggkzM5R49q6jpPvazou,Jessie J
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
1bqxdqvUtPWZri43cKHac8,MAX
3WGpXCj9YhhfX11TToZcXP,Troye Sivan
2jnIB6XdLvnJUeNTy5A0J2,Why Don't We
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld
4rQTEdG6hDVOlDUFKs9EjZ,Fly By Midnight
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels
188VINPQh5dyNfLUkevKqf,Olivia Holt
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann
7LImGq5KnzQobZciDJpeJb,Charlotte Lawrence
28y6CyJNkGNjJQKrlx4AmN,HRVY
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
6Dd3NScHWwnW6obMFbl1BH,Daya
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson
55VbVrjmAWcvCknVFfPzvK,Grace Davies
5xKp3UyavIBUsGy3DQdXeF,A Great Big World
2TL8gYTNgD6nXkyuUdDrMg,Jasmine Thompson
58MLl9nC29IXbE4nEtuoP2,Alex & Sierra
7gAppWoH7pcYmphCVTXkzs,The Vamps
2WuKU0SYZOQyY3MmE4vtez,New Hope Club
5Y8eJDj37KhaEeqbVO7Ag1,PRETTYMUCH
6dn6x1XOng3LOAnfTjUn77,AJ Mitchell
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer
2txHhyCwHjUEpJjWrEyqyX,Tom Odell
4tqPTKknmeQK1uDEFVfX4G,Ryan McMullan
3LpLGlgRS1IKPPwElnpW35,James Morrison
4m6VmvHDXWmVdIw6EJGQ86,Frances
0gadJ2b9A4SKsB1RFkBb66,Passenger
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
5YHM0i7v5TqqibZhS0YiuX,Ryan Trey
0pghUohLPptZWBasy2wmUx,THEY.
1ZilzPhvZhYUCSGczNRlyt,Eli Sostre
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz
3UjPnt2nRmw10N58bBeNOg,Xavier Omär
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar
3QTDHixorJelOLxoxcjqGx,SiR
1A9o3Ljt67pFZ89YtPPL5X,Snoh Aalegra
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae
30DhU7BDmF4PH0JVhu8ZRg,Sabrina Claudio
3fHjwMnkM9ov8CozqkYxWY,Ramriddlz
5J7URjIP8aFmeSn2QwF9Au,TYuS
4isewEHTP7Az2QheDdBQ6J,24hrs
1uaS3ZokV40ZrpzSRhx4Ol,K. Forest
2iojnBLj0qIMiKPvVhLnsH,Trey Songz
3Y7RZ31TRPVadSFVy1o8os,H.E.R.
5aMIbwZQvP2MHPMVC5zCGj,ODIE
0fTav4sBLmYOAzKuJw0grL,Mac Ayres
2vVT4qoxWje0gVD2FiWZ4u,Jeff Bernat
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo
360IAlyVv4PCEVjgyMZrxK,Miguel
7r2oyrNc0YjSC7hZL87V0Y,Ro James
3jk39CGeaaSO3FPKNx1RUx,Syd
6LuN9FCkKOj5PcnpouEgny,Khalid
