id;related_artists
2R21vXR83lH98kGeO99Y66;['5hdhHgpxyniooUiQVaPxQ0', '1fctva4kpRbg2k3v7kwRuS', '00XhexlJEXQstHimpZN910', '6w9ToX5slZ4uIdmD17hJ3c', '6nVcHLIgY5pE2YCl8ubca1', '0qTZZWLzuD59Un5r1speHm', '5bWUlnPx9OYKsLiUJrhCA1', '7iK8PXO48WeuP03g8YR51W', '47MpMsUfWtgyIIBEFOr4FE', '2wkoKEfS6dXwThbyTnZWFU']
5hdhHgpxyniooUiQVaPxQ0;['1fctva4kpRbg2k3v7kwRuS', '00XhexlJEXQstHimpZN910', '0qTZZWLzuD59Un5r1speHm', '47MpMsUfWtgyIIBEFOr4FE', '7iK8PXO48WeuP03g8YR51W', '1jSjfSgDjedJdi5MoyRu78', '1GAymyGBvB4gQy5Z5LZ1Wj', '6w9ToX5slZ4uIdmD17hJ3c', '64aJYyrXljOodnUG6jvhRD', '1RBzGO6Nm3uyhUSxP7EDWO']
2wkoKEfS6dXwThbyTnZWFU;['1GAymyGBvB4gQy5Z5LZ1Wj', '5dbaLmK5SHLLg8Z4CcTJpX', '0eecdvMrqBftK0M1VKhaF4', '0haZhu4fFKt0Ag94kZDiz2', '0tmwSHipWxN12fsoLcFU3B', '5hdhHgpxyniooUiQVaPxQ0', '1fctva4kpRbg2k3v7kwRuS', '5H1nN1SzW0qNeUEZvuXjAj', '0AspLZGQkP38yddNoD0pLn', '2ayNSoKPCRAfjp6hQ76hRu']
790FomKkXshlbRYZFtlgla;['5hdhHgpxyniooUiQVaPxQ0', '2wkoKEfS6dXwThbyTnZWFU', '5dbaLmK5SHLLg8Z4CcTJpX', '0qTZZWLzuD59Un5r1speHm', '0tmwSHipWxN12fsoLcFU3B', '1i8SpTcr7yvPOmcqrbnVXY', '07YUOmWljBTXwIseAUd9TW', '2ayNSoKPCRAfjp6hQ76hRu', '0eecdvMrqBftK0M1VKhaF4', '6w3SkAHYPsQ1bxV7VDlG5y']
0qTZZWLzuD59Un5r1speHm;['5hdhHgpxyniooUiQVaPxQ0', '1fctva4kpRbg2k3v7kwRuS', '0EFisYRi20PTADoJrifHrz', '1jSjfSgDjedJdi5MoyRu78', '00XhexlJEXQstHimpZN910', '1fux65HMCBvfJHqlBc4Nno', '64aJYyrXljOodnUG6jvhRD', '47MpMsUfWtgyIIBEFOr4FE', '1GAymyGBvB4gQy5Z5LZ1Wj', '3RtNN1VnooWEn3KQk03DUL']
00XhexlJEXQstHimpZN910;['1jSjfSgDjedJdi5MoyRu78', '6w9ToX5slZ4uIdmD17hJ3c', '1fctva4kpRbg2k3v7kwRuS', '2wYOpkTJZGByNEOjEnSmoW', '3RtNN1VnooWEn3KQk03DUL', '5lFhCi03HDneWzvCxGctrT', '1fux65HMCBvfJHqlBc4Nno', '1pf0MPKfKdvS8J779mS1Ay', '5hdhHgpxyniooUiQVaPxQ0', '1RBzGO6Nm3uyhUSxP7EDWO']
6nVcHLIgY5pE2YCl8ubca1;['0EFisYRi20PTADoJrifHrz', '0GM7qgcRCORpGnfcN2tCiB', '0qTZZWLzuD59Un5r1speHm', '5hdhHgpxyniooUiQVaPxQ0', '00XhexlJEXQstHimpZN910', '1Ts9of7VPZElwPQnqnDSfW', '6w9ToX5slZ4uIdmD17hJ3c', '47MpMsUfWtgyIIBEFOr4FE', '2LmcxBak1alK1bf7d1beTr', '1fctva4kpRbg2k3v7kwRuS']
7iK8PXO48WeuP03g8YR51W;['00XhexlJEXQstHimpZN910', '6w9ToX5slZ4uIdmD17hJ3c', '5hdhHgpxyniooUiQVaPxQ0', '1jSjfSgDjedJdi5MoyRu78', '1fctva4kpRbg2k3v7kwRuS', '6kq4GHwUcUojGIu0ziSNXf', '2DspEsT7UXGKd2VaaedgG4', '2QUvtLq6oQaX0LNsYY2fas', '47MpMsUfWtgyIIBEFOr4FE', '64aJYyrXljOodnUG6jvhRD']
6w9ToX5slZ4uIdmD17hJ3c;['1jSjfSgDjedJdi5MoyRu78', '00XhexlJEXQstHimpZN910', '1pf0MPKfKdvS8J779mS1Ay', '3RtNN1VnooWEn3KQk03DUL', '1fctva4kpRbg2k3v7kwRuS', '1fux65HMCBvfJHqlBc4Nno', '2wYOpkTJZGByNEOjEnSmoW', '5lFhCi03HDneWzvCxGctrT', '0qTZZWLzuD59Un5r1speHm', '1RBzGO6Nm3uyhUSxP7EDWO']
4q3ewBCX7sLwd24euuV69X;['1i8SpTcr7yvPOmcqrbnVXY', '2R21vXR83lH98kGeO99Y66', '5hdhHgpxyniooUiQVaPxQ0', '2wkoKEfS6dXwThbyTnZWFU', '790FomKkXshlbRYZFtlgla', '0qTZZWLzuD59Un5r1speHm', '00XhexlJEXQstHimpZN910', '6nVcHLIgY5pE2YCl8ubca1', '7iK8PXO48WeuP03g8YR51W', '6w9ToX5slZ4uIdmD17hJ3c']
